indice,titulo,clasificacion,fecha_de_estreno,elenco,duracion,duracion_cantidad,duracion_minOSeason,lista_de_generos,plataforma
20585,Bushwick,movie,2017,"Dave Bautista, Brittany Snow, Angelic Zambrana, Jeremie Harris, Myra Lucretia Taylor, Arturo Castro, Christian Navarro",94 min,94,min,"action & adventure, independent movies",netflix
20586,Butterfield 8,movie,1960,"Elizabeth Taylor, Laurence Harvey, Eddie Fisher, Dina Merrill, Mildred Dunnock, Betty Field, Jeffrey Lynn, Susan Oliver",108 min,108,min,"classic movies, dramas, romantic movies",netflix
20587,Cézanne et moi,movie,2016,"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker",114 min,114,min,"dramas, independent movies, international movies",netflix
20588,Cabin Fever,movie,2016,"Gage Golightly, Matthew Daddario, Samuel Davis, Nadine Crocker, Dustin Ingram, Randy Schulman",98 min,98,min,"horror movies, thrillers",netflix
20589,Cabins in the Wild with Dick Strawbridge,tv show,2017,"Dick Strawbridge, William Hardie",1 Season,1,season,"british tv shows, international tv shows, reality tv",netflix
20590,Cahaya Dari Timur Beta Maluku,movie,2014,"Chicco Jerikho, Abdurrahman Arif, Jajang C. Noer, Ridho Hafiedz, Leo Maitimu, Shafira Umm, Glenn Fredly, Aufa Assagaf, Burhanuddin Ohorella, Bebeto Leutually",151 min,151,min,"dramas, international movies, sports movies",netflix
20591,Caida del Cielo,movie,2016,"Muriel Santa Ana, Peto Menahem, Héctor Díaz, Sebastián Wainraich, Karina K., Hernán Jiménez, Fabián Forte, Verónica Intile",78 min,78,min,"comedies, international movies, romantic movies",netflix
20592,Cain and Abel,tv show,2009,"So Ji-sub, Shin Hyun-joon, Chae Jung-an, Han Ji-min, Kim Hae-suk, You-Mi Ha, Yong Jang, Kwon Hae-hyo",1 Season,1,season,"international tv shows, korean tv shows, romantic tv shows",netflix
20593,Cake,movie,2018,"Aamina Sheikh, Sanam Saeed, Adnan Malik, Mohammad Ahmad, Beo Rana Zafar, Faris Khalid, Hira Hussain, Mikaal Zulfiqar",125 min,125,min,"comedies, dramas, international movies",netflix
20594,Calendar Girls,movie,2015,"Akanksha Puri, Avani Modi, Kyra Dutt, Ruhi Singh, Satarupa Pyne, Mita Vashisht, Keith Sequeira, Deepak Wadhwa, Indraneil Sengupta, Vikram Sakhalkar",126 min,126,min,"dramas, international movies",netflix
20595,Calico Critters,tv show,2018,"Georgie Fuller, Jessica Hinds-Mingo, Mayumi Kawai, Sarah Sumeray, Alix Macey, Jenna Sharpe",1 Season,1,season,kids' tv,netflix
20596,Calico Critters: A Town of Dreams,movie,2017,sin dato,11 min,11,min,children & family movies,netflix
20597,Calico Critters: The Treasure of Calico Village,movie,2017,sin dato,22 min,22,min,children & family movies,netflix
20598,Call Me Francis,tv show,2016,"Rodrigo de la Serna, Sergio Hernández, Mercedes Morán, Muriel Santa Ana, Alex Brendemühl, Maximilian Dirr, Andres Gil, Marco Di Tieri",1 Season,1,season,"international tv shows, spanish-language tv shows, tv dramas",netflix
20599,Camelia la Texana,tv show,2014,"Sara Maldonado, Erik Hayser, Andrés Palacios, Dagoberto Gama, Luis Ernesto Franco, Arcelia Ramírez, Eréndira Ibarra",1 Season,1,season,"crime tv shows, romantic tv shows, spanish-language tv shows",netflix
20600,Camera Store,movie,2016,"John Larroquette, John Rhys-Davies, Paul Ben-Victor, David James Elliott, Laura Silverman, Cheryl Ladd, Justin Lieberman, Maddie McCormick",104 min,104,min,"comedies, dramas",netflix
20601,Camp Cool Kids,movie,2017,"Connor Rosen, Logan Shroyer, Michael Gross, Markie Post, Leigh-Allyn Baker, Juliocesar Chavez, Tyree Brown",104 min,104,min,"children & family movies, comedies, dramas",netflix
20602,Camp X,tv show,2014,sin dato,1 Season,1,season,docuseries,netflix
20603,Camp X-Ray,movie,2014,"Kristen Stewart, Peyman Moaadi, John Carroll Lynch, Lane Garrison, Joseph Julian Soria, Ser'Darius Blain, Cory Michael Smith, Julia Duffy",117 min,117,min,"dramas, independent movies",netflix
20604,Can We Get Married?,tv show,2012,"Sung Jun, So-min Jung, Sung-min Kim, Ae-yeon Jeong, Mi-sook Lee, Eun-sook Sunwoo, Seok-woo Kang, Young-kwang Kim, Han Groo, Jin-soo Kim",1 Season,1,season,"international tv shows, korean tv shows, romantic tv shows",netflix
20605,Can't Hardly Wait,movie,1998,"Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo, Lauren Ambrose, Peter Facinelli, Seth Green, Michelle Brookhurst, Alexander Martin, Erik Palladino, Channon Roe, Sean Patrick Thomas",101 min,101,min,"comedies, romantic movies",netflix
20606,Candyman,movie,1992,"Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams, DeJuan Guy, Michael Culkin, Stanley DeSantis",99 min,99,min,"cult movies, horror movies",netflix
20607,Cannabis,tv show,2016,"Jean-Michel Correia, Yasin Houicha, Pedro Casablanc, Christophe Paou, Kate Moran, Santi Pons",1 Season,1,season,"crime tv shows, international tv shows, tv dramas",netflix
20608,Capital in the Twenty-First Century,movie,2019,sin dato,103 min,103,min,documentaries,netflix
20609,Cappuccino,movie,2017,"Dharmajan Bolgatty, Aneesh Menon, Sunil Sukhada, Anita Lukmance, Kottayam Pradeep, Natasha Doshi, Hareesh Perumanna, Sharanya, Vineeth Mohan, Sudhi Koppa",126 min,126,min,"comedies, dramas, international movies",netflix
20610,Cardboard Gangsters,movie,2016,"John Connors, Fionn Walton, Kierston Wareing, Paul Alwright, Ryan Lincoln, Jimmy Smallhorne, Toni O'Rourke, Fionna Hewitt-Twamley, Stephen Clinch, Ciaran McCabe",92 min,92,min,"dramas, international movies",netflix
20611,Care Bears: Welcome to Care-a-Lot,tv show,2012,"David Lodge, Patty Mattson, Doug Erholtz, Stephanie Sheh, Nayo Wallace, Michael Sinterniklaas, Michaela Dean",1 Season,1,season,kids' tv,netflix
20612,Caregiver,movie,2008,"Sharon Cuneta, John Estrada, John Manalo, Rica Peralejo, Jhong Hilario, Saul Reichlin, Matthew Rutherford, Claire Jeater, Makisig Morales, Mickey Ferriols",131 min,131,min,"dramas, international movies",netflix
20613,Carol,movie,2015,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler, Jake Lacy, John Magaro, Cory Michael Smith, Carrie Brownstein, Kevin Crowley, Nik Pajic",119 min,119,min,"dramas, lgbtq movies, romantic movies",netflix
20614,Carrie,movie,1976,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North",98 min,98,min,"classic movies, cult movies, horror movies",netflix
20615,Carriers,movie,2009,"Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses",85 min,85,min,"horror movies, sci-fi & fantasy, thrillers",netflix
20616,Casa de mi Padre,movie,2012,"Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez",84 min,84,min,comedies,netflix
20617,Case Closed,tv show,2015,"Minami Takayama, Alison Retzloff, Wakana Yamazaki, Colleen Clinkenbeard, Akira Kamiya, R. Bruce Elliott, Wataru Takagi, Chafurin, Mark Stoddard",1 Season,1,season,"anime series, crime tv shows, tv thrillers",netflix
20618,Casino Royale,movie,2006,"Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini",145 min,145,min,action & adventure,netflix
20619,Casino Tycoon,movie,1992,Wong Jing,125 min,125,min,"action & adventure, dramas, international movies",netflix
20620,Casino Tycoon 2,movie,1992,Dennis Chan,108 min,108,min,"action & adventure, dramas, international movies",netflix
20621,Castle of Stars,tv show,2015,"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",1 Season,1,season,"international tv shows, romantic tv shows, tv comedies",netflix
20622,Cat on a Hot Tin Roof,movie,1958,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson, Madeleine Sherwood, Larry Gates, Vaughn Taylor",108 min,108,min,"classic movies, dramas",netflix
20623,Catching the Sun,movie,2015,sin dato,74 min,74,min,documentaries,netflix
20624,Cats & Dogs: The Revenge of Kitty Galore,movie,2010,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka",82 min,82,min,"children & family movies, comedies",netflix
20625,Catwalk: Tales from the Cat Show Circuit,movie,2018,sin dato,75 min,75,min,"documentaries, international movies",netflix
20626,Cave,movie,2016,"Heidi Toini, Benjamin Helstad, Mads Sjogard Pettersen, Ingar Helge Gimle",77 min,77,min,"action & adventure, international movies, thrillers",netflix
20627,Celluloid Man,movie,2012,P.K. Nair,156 min,156,min,"documentaries, international movies",netflix
20628,Center Stage,movie,2000,"Amanda Schull, Zoe Saldana, Susan May Pratt, Peter Gallagher, Donna Murphy, Debra Monk, Ethan Stiefel, Sascha Radetsky, Julie Kent, Ilia Kulik",116 min,116,min,dramas,netflix
20629,Chaar Sahibzaade,movie,2014,Om Puri,126 min,126,min,"dramas, faith & spirituality, international movies",netflix
20630,Chal Dhar Pakad,movie,2010,Nagesh Bhonsle,129 min,129,min,"comedies, dramas, international movies",netflix
20631,Chal Mere Bhai,movie,2000,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Dalip Tahil, Sushma Seth, Shakti Kapoor, Nagma, Sonali Bendre, Twinkle Khanna, Ravi Baswani",132 min,132,min,"comedies, international movies, romantic movies",netflix
20632,Chalay Thay Saath,movie,2017,"Syra Shehroz, Kent S. Leung, Osama Tahir, Mansha Pasha, Zhalay Sharhadi, Faris Khalid, Behroze Sabzwari, Shamim Hilaly",118 min,118,min,"comedies, dramas, international movies",netflix
20633,Chandani: The Daughter of the Elephant Whisperer,movie,2010,K.G. Chandani Renuka Ratnayake,87 min,87,min,"documentaries, international movies",netflix
20634,Change in the Air,movie,2018,"Mary Beth Hurt, Rachel Brosnahan, Aidan Quinn, Olympia Dukakis, M. Emmet Walsh, Peter Gerety, Macy Gray, Satya Bhabha",95 min,95,min,dramas,netflix
20635,Chaotic Love Poems,movie,2016,"Chicco Jerikho, Pevita Pearce",86 min,86,min,"dramas, international movies, romantic movies",netflix
20636,Chappaquiddick,movie,2017,"Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Olivia Thirlby, Clancy Brown, Taylor Nichols, John Fiore",106 min,106,min,dramas,netflix
20637,Charlie and the Chocolate Factory,movie,2005,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz",115 min,115,min,"children & family movies, comedies",netflix
20638,Charlie's Angels: Full Throttle,movie,2003,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese",106 min,106,min,"action & adventure, comedies",netflix
20639,Charlotte's Web,movie,1973,"Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden",94 min,94,min,"children & family movies, classic movies",netflix
20640,Chashme Buddoor,movie,2013,"Ali Zafar, Siddharth, Divyendu Sharma, Tapsee Pannu, Rishi Kapoor, Anupam Kher, Bharati Achrekar, Varun Dhawan, Lillete Dubey, Ayaz Khan, Ashish Verma",121 min,121,min,"comedies, international movies, music & musicals",netflix
20641,Chasing Amy,movie,1997,"Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith",113 min,113,min,"comedies, cult movies, dramas",netflix
20642,Chasing Monsters,tv show,2016,Cyril Chauquet,2 Seasons,2,season,"docuseries, reality tv, science & nature tv",netflix
20643,Chasing the Dragon,movie,2017,"Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang",129 min,129,min,"action & adventure, dramas, international movies",netflix
20644,Chasing Trane,movie,2016,"Denzel Washington, Bill Clinton, Ravi Coltrane, Common, Benny Golson, Jimmy Heath, Wynton Marsalis, Sonny Rollins, Carlos Santana, Cornel West",99 min,99,min,"documentaries, music & musicals",netflix
20645,Chauthi Koot,movie,2015,"Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi",116 min,116,min,"dramas, independent movies, international movies",netflix
20646,Cheapest Weddings,tv show,2016,Melanie Vallejo,1 Season,1,season,"international tv shows, reality tv",netflix
20647,Cheers,tv show,1992,"Ted Danson, Rhea Perlman, George Wendt, John Ratzenberger, Shelley Long, Kirstie Alley, Woody Harrelson, Kelsey Grammer, Nicholas Colasanto",11 Seasons,11,season,"classic & cult tv, tv comedies",netflix
20648,Chef & My Fridge,tv show,2017,"Seong-joo Kim​, Jung-hwan Ahn",2 Seasons,2,season,"international tv shows, korean tv shows, reality tv",netflix
20649,Chernobyl Diaries,movie,2012,"Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse McCartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff",88 min,88,min,"horror movies, thrillers",netflix
20650,Chewin' the Fat,tv show,1999,"Ford Kiernan, Greg Hemphill, Karen Dunbar, Mark Cox, Paul Riley",1 Season,1,season,"british tv shows, tv comedies",netflix
20651,Chewing Gum,tv show,2017,"Michaela Coel, John Macmillan, Robert Lonsdale, Danielle Walters, Kadiff Kirwan, Susan Wokoma, Shola Adewusi, Sarah Hoare, Abby Rakic-Platt, Maggie Steed, Olisa Odele",2 Seasons,2,season,"british tv shows, international tv shows, romantic tv shows",netflix
20652,Chhota Bheem Aur Kaala Yodha,movie,2018,"Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",63 min,63,min,movies,netflix
20653,Chhota Bheem Ka Romani Adventure,movie,2018,"Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",62 min,62,min,children & family movies,netflix
20654,Chhota Bheem Ka Troll Se Takkar,movie,2018,"Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",62 min,62,min,movies,netflix
20655,Chhota Bheem Kungfu Dhamaka,movie,2019,"Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni",112 min,112,min,children & family movies,netflix
20656,Chicken Kokkachi,movie,2017,"Anuranjan Premji, Indrans, Dharmajan Bolgatty, Sudhi Koppa, Bijukuttan, Neha Rathanakaran, Prasanth",113 min,113,min,"comedies, international movies",netflix
20657,Chicken Little,movie,2005,"Zach Braff, Joan Cusack, Patrick Stewart, Steve Zahn, Catherine O'Hara, Harry Shearer, Adam West, Don Knotts, Amy Sedaris, Garry Marshall, Patrick Warburton, Fred Willard, Wallace Shawn",82 min,82,min,"children & family movies, comedies",netflix
20658,Chief Daddy,movie,2018,"Taiwo Obileye, Joke Silva, Falz The Bahd Guy, Dakore Akande, Funke Akindele, Zainab Balogun, Shaffy Bello, Ini Edo, Linda Ihuoma-Suleiman, Mawuli Gavor, Richard Mofe-Damijo, Rachael Oniga, Nkem Owoh, Patience Ozokwor",98 min,98,min,"comedies, dramas, international movies",netflix
20659,Child's Play,movie,1988,"Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder",87 min,87,min,"cult movies, horror movies",netflix
20660,Chill with Bob Ross,tv show,1994,Bob Ross,1 Season,1,season,tv shows,netflix
20661,China Salesman,movie,2017,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian",111 min,111,min,"action & adventure, international movies",netflix
20662,Chingo Bling: They Can't Deport Us All,movie,2017,Chingo Bling,63 min,63,min,stand-up comedy,netflix
20663,Chittagong,movie,2012,"Manoj Bajpayee, Barry John, Delzad Hiwale, Vega Tamotia, Nawazuddin Siddiqui, Rajkummar Rao, Jaideep Ahlawat, Vijay Varma, Dibyendu Bhattacharya",105 min,105,min,"dramas, independent movies, international movies",netflix
20664,Chitty Chitty Bang Bang,movie,1968,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin",146 min,146,min,"children & family movies, classic movies, comedies",netflix
20665,Chloe,movie,2009,"Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R.H. Thomson, Nina Dobrev, Laura de Carteret, Mishu Vellani",96 min,96,min,"independent movies, thrillers",netflix
20666,Chris Brown: Welcome to My Life,movie,2017,Chris Brown,80 min,80,min,"documentaries, music & musicals",netflix
20667,Christian Mingle,movie,2014,"Lacey Chabert, Jonathan Patrick Moore, Saidah Arrika Ekulona, Stephen Tobolowsky, John O'Hurley, David Keith, Morgan Fairchild, Corbin Bernsen",99 min,99,min,"comedies, faith & spirituality, romantic movies",netflix
20668,Christiane Amanpour: Sex & Love Around the World,tv show,2018,sin dato,1 Season,1,season,docuseries,netflix
20669,Christmas Crush,movie,2012,"Rachel Boston, Jonathan Bennett, Jon Prescott, Sunny Mabrey, Julia Voth, Elizabeth Lauren Hoffman, Eileen April Boylan, Josh Crotty",87 min,87,min,"comedies, romantic movies",netflix
20670,Christmas in the Smokies,movie,2015,"Sarah Lancaster, Barry Corbin, Alan Powell, Jill Wagner, Danny Vinson, Gregory Alan Williams, Rebecca Koon, Brett Rice",88 min,88,min,"children & family movies, dramas, romantic movies",netflix
20671,Christmas with the Kranks,movie,2004,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, Erik Per Sullivan, Cheech Marin, Jake Busey, M. Emmet Walsh, Kevin Chamberlin, Elizabeth Franz, René Lavan",99 min,99,min,"children & family movies, comedies",netflix
20672,Christopher Robin,movie,2018,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Jim Cummings, Brad Garrett, Nick Mohammed, Peter Capaldi",104 min,104,min,"children & family movies, comedies, dramas",netflix
20673,Chronicle of an Escape,movie,2006,"Rodrigo de la Serna, Pablo Echarri, Nazareno Casero, Lautaro Delgado, Matías Marmorato, Martín Urruty, César Albarracín, Guillermo Fernandez, Daniel Di Biase",104 min,104,min,"dramas, international movies, thrillers",netflix
20674,Chuck Chicken,tv show,2017,sin dato,1 Season,1,season,kids' tv,netflix
20675,Chupan Chupai,movie,2017,"Ahsan Khan, Neelam Muneer, Faizan Khawaja, Ali Rizvi, Vajdaan Shah, Zayed Sheikh, Talat Hussain, Javed Sheikh",118 min,118,min,"comedies, international movies",netflix
20676,Chupke Chupke,movie,1975,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bhaduri, Om Prakash, Asrani, David Abraham, Usha Kiran, Lily Chakravarty, Keshto Mukherjee",127 min,127,min,"classic movies, comedies, international movies",netflix
20677,Cirque du Freak: The Vampire's Assistant,movie,2009,"John C. Reilly, Ken Watanabe, Josh Hutcherson, Chris Massoglia, Ray Stevenson, Patrick Fugit, Orlando Jones, Willem Dafoe, Salma Hayek, Michael Cerveris, Jane Krakowski, Frankie Faison, Patrick Breen, Colleen Camp, Don McManus, Jessica Carlson, Kristen Schaal",109 min,109,min,"action & adventure, horror movies, sci-fi & fantasy",netflix
20678,City in the Sky,tv show,2016,sin dato,1 Season,1,season,"british tv shows, docuseries, science & nature tv",netflix
20679,City of God,movie,2002,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge, Jefechander Suplino, Alice Braga",130 min,130,min,"dramas, independent movies, international movies",netflix
20680,City of Tiny Lights,movie,2016,"Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo, Roshan Seth, Hannah Rae, Antonio Aakeel, George Sargeant, Alexander Siddig, Vincent Regan, Barry Aird",110 min,110,min,"dramas, international movies, thrillers",netflix
